Fact Number,Fun Fact
334,\*\*The **Like-Kind Exchange** rule allows property owners to defer capital gains tax if they reinvest in a similar property.
335,"\*\*The definition of **""Ordinary Income""** is income derived from a trade or business, taxed at regular rates."
336,"\*\*The definition of **""Capital Gains""** is profit from the sale of assets held for investment, often taxed at a lower rate."
337,**The concept of 'Averaging'** allows agricultural businesses to smooth out volatile income for tax purposes.
338,**Tax treaties** are agreements between countries to prevent double taxation of income earned by citizens or companies in both countries.
339,**The term 'tax loophole'** refers to ambiguity or exceptions in the tax law that allow for tax minimization.
340,\*\*The **Fiscal Cliff** was a term coined in the U.S. to describe a scenario where several temporary tax cuts expired simultaneously.
341,**The average salary for CPAs** is significantly higher than that of non-certified accountants.
342,\*\*The concept of **'economic value added' (EVA)** is a performance metric that measures the wealth created by a company's activities above its cost of capital.
343,**Activity-Based Budgeting (ABB)** is a budgeting method that focuses on the costs of activities needed to produce goods or services.
344,"**Benchmarking** involves comparing a company's costs, operations, and processes against industry best practices."
345,**Throughput accounting** is a managerial accounting system focused on maximizing the rate at which cash is generated (throughput).
346,\*\*The **Theory of Constraints (TOC)** is a managerial philosophy that focuses on identifying and managing the single biggest bottleneck in a process.
347,"\*\*The **Pareto Principle** (80/20 rule) is often applied in cost control, suggesting that 80% of problems come from 20% of causes."
348,\*\*The **Learning Curve Effect** states that the time and cost required to complete a task decreases as workers gain experience.
349,**Regression analysis** is a statistical tool used in management accounting to estimate cost functions.
350,**Capitalization of software development costs** under GAAP depends on whether the software is developed for internal use or external sale.
351,\*\*The **Statement of Comprehensive Income** is typically presented as a separate statement or as an extension of the Income Statement.
352,\*\*The **Asset Turnover** ratio measures how efficiently a company is using its assets to generate sales.
353,\*\*The **Return on Assets (ROA)** ratio measures how effectively a company is using its assets to generate profit.
354,\*\*The **times inventory turnover** ratio is critical for retail and manufacturing businesses.
355,\*\*The **days payable outstanding (DPO)** ratio measures the average number of days a company takes to pay its suppliers.
356,"**Stock-based compensation** must be recorded as an expense on the income statement, reducing reported net income."
357,\*\*The **Black-Scholes model** is frequently used to estimate the fair value of employee stock options for accounting purposes.
358,**The term 'off-balance sheet financing'** refers to arrangements that allow companies to keep debt obligations from appearing on the balance sheet.
359,**The collapse of Enron** was largely due to the use of complex off-balance sheet special purpose entities (SPEs).
360,**Related-party transactions** (transactions between a company and its owners or management) require extensive disclosure due to potential conflicts of interest.
361,**Auditors must rotate** the lead engagement partner periodically to maintain independence and fresh perspective.
362,"\*\*The **going public** process (IPO) requires a massive, complex audit and detailed financial filings."
363,"\*\*The **Securities Act of 1933** governs the initial issuance of securities, requiring detailed accounting disclosures."
364,"\*\*The **Securities Exchange Act of 1934** governs the subsequent trading of securities, requiring ongoing financial reporting (10-Ks, 10-Qs)."
365,**The core goal of financial accounting** is to provide useful information to external parties (investors and creditors) for making resource allocation decisions.
